,id_materia,codigo,metodo,cluster,asignatura,titulacion
614,87084,CURSO_UTPL-TN0013_18,AFFINITY-PROPAGATION,166,ENFERMERÍA MATERNO-INFANTIL I,ENFERMERÍA
615,87093,CURSO_UTPL-TN0019_18,AFFINITY-PROPAGATION,295,ENFERMERÍA EN URGENCIA,ENFERMERÍA
616,87102,CURSO_UTPL-TN0020_18,AFFINITY-PROPAGATION,165,ENFERMERÍA GERIÁTRICA,ENFERMERÍA
617,87111,CURSO_UTPL-TN0018_18,AFFINITY-PROPAGATION,296,ENFERMERÍA ONCOLÓGICA Y CUIDADOS PALIATIVOS ,ENFERMERÍA
618,87347,CURSO_UTPL-TN0016_18,AFFINITY-PROPAGATION,294,GP2 ENFERMERÍA COMUNITARIA I (APS). INTRODUCCIÓN AL TRABAJO DE FIN DE TITULACIÓN,ENFERMERÍA
619,87356,CURSO_UTPL-TN0015_18,AFFINITY-PROPAGATION,60,PATOLOGIA,ENFERMERÍA
620,87365,CURSO_UTPL-TN0017_18,AFFINITY-PROPAGATION,166,ENFERMERÍA MATERNO-INFANTIL II,ENFERMERÍA
621,87374,CURSO_UTPL-TN0167_18,AFFINITY-PROPAGATION,167,INSTRUMENTACIÓN QUIRÚRGICA,ENFERMERÍA
622,87383,CURSO_UTPL-TN0005_18,AFFINITY-PROPAGATION,8,MICROBIOLOGÍA Y PARASITOLOGÍA,ENFERMERÍA
623,87392,CURSO_UTPL-TN0021_18,AFFINITY-PROPAGATION,294,GP3 ENFERMERÍA COMUNITARIA II. PRESENTACIÓN PROYECTO DE FIN DE TITULACIÓN,ENFERMERÍA
624,87846,CURSO_PRE-TNEMP001_18,AFFINITY-PROPAGATION,55,EMPRENDIMIENTO,Área Administrativa
625,88166,CURSO_UTPL-TNAE002_18,AFFINITY-PROPAGATION,168,REALIDAD NACIONAL Y AMBIENTAL,Área Administrativa
626,88391,CURSO_UTPL-G0007_18,AFFINITY-PROPAGATION,168,REALIDAD NACIONAL,Área Administrativa
627,88736,CURSO_PRE-TNCH001_18,AFFINITY-PROPAGATION,169,DESARROLLO ESPIRITUAL I,Área Socio-Humanística
628,89075,CURSO_UTPL-TNCCEE001_18,AFFINITY-PROPAGATION,23,EXPRESIÓN ORAL Y ESCRITA,Área Socio-Humanística
629,89400,CURSO_PRE-TNCH002_18,AFFINITY-PROPAGATION,169,DESARROLLO ESPIRITUAL II,Área Socio-Humanística
630,89776,CURSO_PRE-TNCH003_18,AFFINITY-PROPAGATION,169,DESARROLLO ESPIRITUAL III,Área Socio-Humanística
631,89991,CURSO_UTPL-G0002_18,AFFINITY-PROPAGATION,170,REDACCION Y COMPRENSION LECTORA I,Área Socio-Humanística
632,90000,CURSO_UTPL-G0001_18,AFFINITY-PROPAGATION,110,"HUMANISMO, UNIVERSIDAD Y CULTURA",Área Socio-Humanística
633,90335,CURSO_UTPL-G0006_18,AFFINITY-PROPAGATION,32,ETICA Y MORAL,Área Socio-Humanística
634,90344,CURSO_UTPL-G0005_18,AFFINITY-PROPAGATION,85,METODOLOGIA DE LA INVESTIGACION Y TECNICAS DE ESTUDIO,Área Socio-Humanística
635,90353,CURSO_UTPL-G0004_18,AFFINITY-PROPAGATION,170,REDACCION Y COMPRENSION LECTORA II,Área Socio-Humanística
