,id_materia,codigo,metodo,cluster,asignatura,titulacion
267,33753,CURSO_PRE-TNABF069_18,HIERARCHY,14,GESTIÓN PRODUCTIVA 4.2,ADMINISTRACIÓN EN BANCA Y FINANZAS
268,34008,CURSO_UTPL-TNICA001_18,HIERARCHY,134,LEGISLACIÓN MERCANTIL Y SOCIETARIA,ADMINISTRACIÓN EN BANCA Y FINANZAS
269,34017,CURSO_PRE-TNABF061_18,HIERARCHY,25,GESTIÓN PRODUCTIVA GP1,ADMINISTRACIÓN EN BANCA Y FINANZAS
270,34026,CURSO_UTPL-TNICA014_18,HIERARCHY,307,PRESUPUESTOS,ADMINISTRACIÓN EN BANCA Y FINANZAS
271,34523,CURSO_UTPL-TNAE009_18,HIERARCHY,515,ADMINISTRACIÓN DE RECURSOS HUMANOS,ADMINISTRACIÓN EN BANCA Y FINANZAS
272,34532,CURSO_PRE-TNABF064_18,HIERARCHY,3,GESTIÓN PRODUCTIVA 3.1,ADMINISTRACIÓN EN BANCA Y FINANZAS
273,34541,CURSO_UTPL-TNICA002_18,HIERARCHY,61,CONTABILIDAD GENERAL,ADMINISTRACIÓN EN BANCA Y FINANZAS
274,35146,CURSO_UTPL-TN-ABF007_18,HIERARCHY,626,FINANZAS II,ADMINISTRACIÓN EN BANCA Y FINANZAS
275,35562,CURSO_UTPL-TNICA005_18,HIERARCHY,594,CÁLCULO,ADMINISTRACIÓN EN BANCA Y FINANZAS
276,35571,CURSO_PRE-TNBIO008_18,HIERARCHY,533,MICROBIOLOGÍA,BIOLOGÍA
277,35580,CURSO_PRE-TNBIO091_18,HIERARCHY,9,GESTIÓN PRODUCTIVA GP 2.2,BIOLOGÍA
278,35781,CURSO_PRE-TNBIO086_18,HIERARCHY,6,GESTIÓN PRODUCTIVA GP 2.1,BIOLOGÍA
279,35790,CURSO_PRE-TNBIO002_18,HIERARCHY,598,BIOLOGÍA CELULAR Y MOLECULAR II,BIOLOGÍA
280,36142,CURSO_PRE-TNBIO096_18,HIERARCHY,4,GESTIÓN PRODUCTIVA GP 3.1,BIOLOGÍA
281,36465,CURSO_PRE-TNBIO039_18,HIERARCHY,456,DIVERSIDAD VEGETAL II,BIOLOGÍA
282,36474,CURSO_PRE-TNBIO030_18,HIERARCHY,452,MORFO FISIOLOGÍA VEGETAL,BIOLOGÍA
283,36483,CURSO_PRE-TNBIO007_18,HIERARCHY,430,ECOLOGÍA II,BIOLOGÍA
284,36492,CURSO_PRE-TNBIO038_18,HIERARCHY,456,DIVERSIDAD ANIMAL II,BIOLOGÍA
285,36501,CURSO_PRE-TNBIO043_18,HIERARCHY,357,BIOGEOGRAFÍA Y EVOLUCIÓN,BIOLOGÍA
286,36714,CURSO_PRE-TNBIO001_18,HIERARCHY,596,BIOLOGÍA CELULAR Y MOLECULAR I,BIOLOGÍA
287,37017,CURSO_PRE-TNBIO042_18,HIERARCHY,427,ECOLOGÍA III,BIOLOGÍA
288,37605,CURSO_PRE-TNBIO052_18,HIERARCHY,387,BIORREMEDIACIÓN,BIOLOGÍA
289,37614,CURSO_PRE-TNBIO029_18,HIERARCHY,450,MORFO FISIOLOGÍA ANIMAL,BIOLOGÍA
290,37623,CURSO_PRE-TNBIO028_18,HIERARCHY,622,GENÉTICA II,BIOLOGÍA
291,37632,CURSO_PRE-TNBIO048_18,HIERARCHY,229,EDAFOLOGÍA Y CONSERVACIÓN DE SUELOS,BIOLOGÍA
292,37915,CURSO_UTPL-TNBIO005_18,HIERARCHY,231,BIOLOGÍA DE LA CONSERVACIÓN,BIOLOGÍA
293,37924,CURSO_PRE-TNBIO071_18,HIERARCHY,49,MATEMÁTICAS PARA LAS CIENCIAS BIOLÓGICAS I,BIOLOGÍA
